statecode,countyname,bldg_count
IA,Warren County,350
IA,Washington County,115
IA,Wayne County,33
IA,Webster County,322
IA,Winnebago County,60
IA,Winneshiek County,89
IA,Woodbury County,1038
IA,Worth County,72
IA,Wright County,160
ID,Ada County,7843
ID,Adams County,57
ID,Bannock County,747
ID,Bear Lake County,42
ID,Benewah County,70
ID,Bingham County,214
ID,Blaine County,275
ID,Boise County,116
ID,Bonner County,880
ID,Bonneville County,1416
ID,Boundary County,134
ID,Butte County,20
ID,Camas County,15
ID,Canyon County,3273
ID,Caribou County,38
ID,Cassia County,542
ID,Clark County,8
ID,Clearwater County,51
ID,Custer County,38
ID,Elmore County,456
ID,Franklin County,51
ID,Fremont County,85
ID,Gem County,302
ID,Gooding County,308
ID,Idaho County,97
ID,Jefferson County,106
ID,Jerome County,435
ID,Kootenai County,3244
ID,Latah County,275
ID,Lemhi County,77
ID,Lewis County,32
ID,Lincoln County,100
ID,Madison County,284
ID,Minidoka County,452
ID,Nez Perce County,359
ID,Oneida County,16
ID,Owyhee County,162
ID,Payette County,498
ID,Power County,51
ID,Shoshone County,240
ID,Teton County,85
ID,Twin Falls County,2107
ID,Valley County,227
ID,Washington County,233
IL,Adams County,433
IL,Alexander County,18
IL,Bond County,113
IL,Boone County,318
IL,Brown County,14
IL,Bureau County,272
IL,Calhoun County,9
IL,Carroll County,113
IL,Cass County,49
IL,Champaign County,2076
IL,Christian County,215
IL,Clark County,83
IL,Clay County,80
IL,Clinton County,230
IL,Coles County,353
IL,Cook County,69853
IL,Crawford County,80
IL,Cumberland County,39
IL,De Witt County,83
IL,DeKalb County,1119
IL,Douglas County,122
IL,DuPage County,10901
IL,Edgar County,94
IL,Edwards County,26
IL,Effingham County,324
IL,Fayette County,151
IL,Ford County,91
IL,Franklin County,221
IL,Fulton County,162
IL,Gallatin County,16
IL,Greene County,46
IL,Grundy County,612
IL,Hamilton County,48
IL,Hancock County,83
IL,Hardin County,11
IL,Henderson County,8
IL,Henry County,245
IL,Iroquois County,216
IL,Jackson County,430
IL,Jasper County,34
IL,Jefferson County,356
IL,Jersey County,124
IL,Jo Daviess County,177
IL,Johnson County,45
IL,Kane County,5501
IL,Kankakee County,1181
IL,Kendall County,942
IL,Knox County,350
IL,LaSalle County,1228
IL,Lake County,6813
IL,Lawrence County,50
IL,Lee County,273
IL,Livingston County,253
IL,Logan County,187
IL,Macon County,1001
IL,Macoupin County,285
IL,Madison County,3161
IL,Marion County,237
IL,Marshall County,113
IL,Mason County,59
IL,Massac County,78
IL,McDonough County,219
IL,McHenry County,3459
IL,McLean County,1722
IL,Menard County,50
IL,Mercer County,84
IL,Monroe County,234
IL,Montgomery County,296
IL,Morgan County,188
IL,Moultrie County,60
IL,Ogle County,459
IL,Peoria County,2546
IL,Perry County,124
IL,Piatt County,80
IL,Pike County,70
IL,Pope County,5
IL,Pulaski County,21
IL,Putnam County,34
IL,Randolph County,192
IL,Richland County,81
IL,Rock Island County,1827
IL,Saline County,141
IL,Sangamon County,2092
IL,Schuyler County,23
IL,Scott County,11
IL,Shelby County,79
IL,St. Clair County,2897
IL,Stark County,28
IL,Stephenson County,306
IL,Tazewell County,1159
IL,Union County,79
IL,Vermilion County,552
IL,Wabash County,50
IL,Warren County,81
IL,Washington County,83
IL,Wayne County,61
IL,White County,57
IL,Whiteside County,397
IL,Will County,5968
IL,Williamson County,521
IL,Winnebago County,2901
IL,Woodford County,225
IN,Adams County,228
IN,Allen County,5227
IN,Bartholomew County,756
IN,Benton County,69
IN,Blackford County,107
IN,Boone County,800
IN,Brown County,107
IN,Carroll County,125
IN,Cass County,255
IN,Clark County,2294
IN,Clay County,175
IN,Clinton County,226
IN,Crawford County,45
IN,Daviess County,148
IN,DeKalb County,331
IN,Dearborn County,436
IN,Decatur County,216
IN,Delaware County,1460
IN,Dubois County,288
IN,Elkhart County,3957
IN,Fayette County,132
IN,Floyd County,1349
IN,Fountain County,67
IN,Franklin County,141
IN,Fulton County,149
IN,Gibson County,347
IN,Grant County,701
IN,Greene County,134
IN,Hamilton County,3052
IN,Hancock County,722
IN,Harrison County,395
IN,Hendricks County,1826
IN,Henry County,454
IN,Howard County,871
IN,Huntington County,292
IN,Jackson County,336
IN,Jasper County,231
IN,Jay County,132
IN,Jefferson County,229
IN,Jennings County,154
IN,Johnson County,1804
IN,Knox County,330
IN,Kosciusko County,758
IN,LaGrange County,206
IN,LaPorte County,1145
IN,Lake County,5776
IN,Lawrence County,305
IN,Madison County,1512
IN,Marion County,15422
IN,Marshall County,488
IN,Martin County,49
IN,Miami County,242
IN,Monroe County,1301
IN,Montgomery County,309
IN,Morgan County,758
IN,Newton County,129
IN,Noble County,364
IN,Ohio County,43
IN,Orange County,106
IN,Owen County,84
IN,Parke County,88
IN,Perry County,96
IN,Pike County,50
IN,Porter County,2053
IN,Posey County,137
IN,Pulaski County,64
IN,Putnam County,311
IN,Randolph County,172
IN,Ripley County,219
IN,Rush County,120
IN,Scott County,235
IN,Shelby County,506
IN,Spencer County,113
IN,St. Joseph County,4608
IN,Starke County,152
IN,Steuben County,429
IN,Sullivan County,116
IN,Switzerland County,41
IN,Tippecanoe County,1580
IN,Tipton County,99
IN,Union County,38
IN,Vanderburgh County,2872
IN,Vermillion County,89
IN,Vigo County,1082
IN,Wabash County,265
IN,Warren County,28
IN,Warrick County,601
IN,Washington County,196
IN,Wayne County,696
IN,Wells County,211
IN,White County,214
IN,Whitley County,276
KS,Allen County,100
KS,Anderson County,63
KS,Atchison County,149
KS,Barber County,48
KS,Barton County,237
KS,Bourbon County,141
KS,Brown County,87
KS,Butler County,477
KS,Chase County,15
KS,Chautauqua County,39
KS,Cherokee County,159
KS,Cheyenne County,21
KS,Clark County,9
KS,Clay County,34
KS,Cloud County,67
KS,Coffey County,74
KS,Comanche County,10
KS,Cowley County,238
KS,Crawford County,330
KS,Decatur County,13
KS,Dickinson County,128
KS,Doniphan County,56
KS,Douglas County,1698
KS,Edwards County,12
KS,Elk County,14
KS,Ellis County,262
KS,Ellsworth County,35
KS,Finney County,387
KS,Ford County,261
KS,Franklin County,265
KS,Geary County,421
KS,Gove County,15
KS,Graham County,14
KS,Grant County,45
KS,Gray County,30
KS,Greeley County,2
KS,Greenwood County,39
KS,Hamilton County,11
KS,Harper County,55
KS,Harvey County,300
KS,Haskell County,6
KS,Hodgeman County,5
KS,Jackson County,51
KS,Jefferson County,96
KS,Jewell County,12
KS,Johnson County,6951
KS,Kearny County,14
KS,Kingman County,62
KS,Kiowa County,24
KS,Labette County,188
KS,Lane County,11
KS,Leavenworth County,519
KS,Lincoln County,17
KS,Linn County,78
KS,Logan County,22
KS,Lyon County,254
KS,Marion County,82
KS,Marshall County,75
KS,McPherson County,168
KS,Meade County,24
KS,Miami County,313
KS,Mitchell County,45
KS,Montgomery County,324
KS,Morris County,31
KS,Morton County,12
KS,Nemaha County,58
KS,Neosho County,137
KS,Ness County,16
KS,Norton County,23
KS,Osage County,100
KS,Osborne County,21
