statecode,countyname,bldg_count_Flex,bldg_count_Healthcare,bldg_count_Hospitality,bldg_count_Industrial,bldg_count_Multifamily,bldg_count_Office,bldg_count_Retail,bldg_count_Specialty,bldg_count_Entertainment,area_sum_Flex,area_sum_Healthcare,area_sum_Hospitality,area_sum_Industrial,area_sum_Multifamily,area_sum_Office,area_sum_Retail,area_sum_Specialty,area_sum_Entertainment
KY,Whitley County,1.0,2.0,5.0,7.0,6.0,22.0,85.0,8.0,0.0,16200.0,49000.0,204200.0,105200.0,163100.0,99100.0,1082800.0,59200.0,0.0
KY,Wolfe County,0.0,0.0,0.0,1.0,2.0,1.0,16.0,5.0,0.0,0.0,0.0,0.0,10000.0,73800.0,5200.0,102700.0,80400.0,0.0
KY,Woodford County,10.0,2.0,4.0,44.0,11.0,48.0,125.0,6.0,0.0,114400.0,133100.0,84600.0,3325100.0,292300.0,476600.0,1212200.0,123100.0,0.0
LA,Acadia Parish,2.0,1.0,5.0,29.0,25.0,22.0,126.0,10.0,0.0,14200.0,43000.0,116300.0,521200.0,850800.0,131600.0,1609200.0,71900.0,0.0
LA,Allen Parish,0.0,0.0,7.0,5.0,12.0,11.0,62.0,8.0,1.0,0.0,0.0,174500.0,65500.0,356400.0,39100.0,653900.0,27600.0,750500.0
LA,Ascension Parish,25.0,6.0,11.0,264.0,36.0,222.0,484.0,52.0,0.0,347200.0,90300.0,310500.0,3712700.0,3195400.0,1105700.0,5856300.0,725800.0,0.0
LA,Assumption Parish,0.0,0.0,1.0,8.0,1.0,5.0,40.0,8.0,0.0,0.0,0.0,8600.0,352400.0,37700.0,23700.0,320900.0,44200.0,0.0
LA,Avoyelles Parish,2.0,0.0,4.0,21.0,11.0,21.0,96.0,17.0,1.0,7500.0,0.0,94100.0,505400.0,348000.0,88500.0,998000.0,73800.0,742600.0
LA,Beauregard Parish,0.0,2.0,3.0,10.0,12.0,20.0,90.0,9.0,1.0,0.0,174800.0,76500.0,659600.0,572400.0,132400.0,1108400.0,43000.0,31100.0
LA,Bienville Parish,0.0,1.0,0.0,12.0,6.0,6.0,32.0,9.0,0.0,0.0,57400.0,0.0,519800.0,197400.0,21000.0,346200.0,144800.0,0.0
LA,Bossier Parish,116.0,14.0,36.0,246.0,63.0,227.0,764.0,61.0,8.0,1047600.0,1037000.0,3807000.0,5579700.0,10784000.0,1723500.0,9418500.0,1520600.0,686400.0
LA,Caddo County,0.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,599900.0,6600.0,1665600.0,0.0,0.0,0.0,0.0
LA,Caddo Parish,137.0,23.0,35.0,630.0,182.0,619.0,1358.0,124.0,12.0,1767100.0,2392500.0,3429600.0,22881800.0,22786000.0,10368900.0,17077400.0,3711800.0,986100.0
LA,Calcasieu Parish,21.0,11.0,40.0,260.0,174.0,381.0,919.0,68.0,1.0,208700.0,566300.0,2645300.0,4636500.0,12925800.0,2681100.0,11485600.0,1751300.0,4700.0
LA,Caldwell Parish,0.0,0.0,0.0,2.0,1.0,3.0,18.0,3.0,0.0,0.0,0.0,0.0,7200.0,29100.0,7300.0,193700.0,63400.0,0.0
LA,Cameron Parish,0.0,0.0,3.0,8.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,14200.0,428700.0,0.0,0.0,80000.0,52000.0,0.0
LA,Catahoula Parish,0.0,0.0,0.0,1.0,2.0,5.0,14.0,1.0,0.0,0.0,0.0,0.0,21000.0,70700.0,20900.0,163600.0,4300.0,0.0
LA,Claiborne Parish,0.0,1.0,2.0,5.0,1.0,11.0,30.0,4.0,0.0,0.0,46000.0,27000.0,313500.0,27200.0,71300.0,410600.0,12100.0,0.0
LA,Concordia Parish,1.0,0.0,1.0,6.0,4.0,12.0,53.0,8.0,0.0,4400.0,0.0,30000.0,1115600.0,144300.0,34500.0,697700.0,46500.0,0.0
LA,De Soto Parish,1.0,1.0,2.0,19.0,7.0,18.0,74.0,6.0,0.0,3600.0,11900.0,66000.0,1535400.0,332600.0,67000.0,863100.0,26100.0,0.0
LA,East Baton Rouge Parish,186.0,41.0,69.0,1199.0,691.0,2197.0,2538.0,330.0,17.0,2163700.0,4388200.0,5626800.0,18876800.0,52465500.0,23619300.0,35263800.0,7884900.0,748300.0
LA,East Carroll Parish,0.0,1.0,1.0,2.0,3.0,1.0,9.0,4.0,0.0,0.0,32000.0,21900.0,146100.0,144200.0,5400.0,59300.0,14500.0,0.0
LA,East Feliciana Parish,0.0,1.0,0.0,7.0,4.0,11.0,29.0,7.0,0.0,0.0,45100.0,0.0,183600.0,147100.0,78300.0,183500.0,68900.0,0.0
LA,Evangeline Parish,0.0,1.0,2.0,5.0,11.0,17.0,65.0,9.0,0.0,0.0,100400.0,31800.0,739500.0,375100.0,90700.0,801000.0,351000.0,0.0
LA,Franklin Parish,1.0,0.0,1.0,3.0,3.0,15.0,44.0,4.0,0.0,45000.0,0.0,16100.0,88000.0,175600.0,92800.0,592500.0,15400.0,0.0
LA,Grant Parish,0.0,0.0,1.0,2.0,0.0,2.0,17.0,6.0,0.0,0.0,0.0,7900.0,11300.0,0.0,7700.0,150100.0,20600.0,0.0
LA,Iberia Parish,5.0,1.0,9.0,136.0,31.0,69.0,208.0,12.0,0.0,166400.0,6200.0,356200.0,4685700.0,2056300.0,612100.0,2785400.0,337000.0,0.0
LA,Iberville Parish,2.0,2.0,1.0,33.0,6.0,32.0,101.0,13.0,1.0,15600.0,164100.0,53000.0,1677400.0,259800.0,170400.0,1274200.0,192700.0,17000.0
LA,Jackson Parish,0.0,0.0,1.0,4.0,4.0,4.0,30.0,3.0,0.0,0.0,0.0,20000.0,593300.0,131700.0,10600.0,405600.0,22200.0,0.0
LA,Jefferson Davis Parish,0.0,2.0,2.0,10.0,13.0,23.0,102.0,14.0,0.0,0.0,26900.0,91900.0,234700.0,911300.0,136100.0,1182900.0,213700.0,0.0
LA,Jefferson Parish,137.0,39.0,81.0,2338.0,1477.0,1319.0,2944.0,299.0,17.0,1762700.0,4477900.0,6171900.0,37109100.0,41304400.0,16644300.0,33921800.0,6624800.0,709800.0
LA,LaSalle Parish,0.0,0.0,0.0,4.0,2.0,2.0,26.0,6.0,0.0,0.0,0.0,0.0,461000.0,44700.0,17700.0,334600.0,220300.0,0.0
LA,Lafayette Parish,63.0,19.0,53.0,771.0,168.0,761.0,1350.0,67.0,4.0,979200.0,906100.0,3140700.0,11246000.0,19091100.0,9850200.0,17672000.0,1568600.0,41700.0
LA,Lafourche Parish,3.0,1.0,15.0,67.0,23.0,103.0,266.0,17.0,4.0,28400.0,171600.0,326700.0,1438500.0,1237400.0,525800.0,3165700.0,240600.0,8700.0
LA,Lincoln Parish,8.0,8.0,4.0,19.0,56.0,28.0,158.0,6.0,2.0,64800.0,488300.0,146100.0,1359500.0,3064000.0,370100.0,1661200.0,63100.0,54000.0
LA,Livingston Parish,6.0,2.0,4.0,79.0,36.0,146.0,380.0,49.0,1.0,77200.0,71600.0,150700.0,1537000.0,2760500.0,676200.0,4247800.0,809500.0,1700.0
LA,Madison Parish,0.0,1.0,0.0,1.0,5.0,8.0,26.0,2.0,0.0,0.0,16100.0,0.0,100000.0,279400.0,25900.0,255000.0,13100.0,0.0
LA,Morehouse Parish,0.0,3.0,1.0,9.0,9.0,19.0,84.0,12.0,0.0,0.0,79500.0,30000.0,224900.0,431500.0,80200.0,1071900.0,129300.0,0.0
LA,Natchitoches Parish,3.0,1.0,7.0,6.0,25.0,17.0,99.0,14.0,1.0,26200.0,31100.0,718800.0,1490400.0,1331000.0,98700.0,1288300.0,137000.0,6000.0
LA,Orleans County,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,0.0
LA,Orleans Parish,69.0,52.0,303.0,1022.0,1193.0,1303.0,3756.0,529.0,21.0,1237100.0,10107900.0,24451200.0,21556000.0,42669400.0,26673800.0,30451400.0,14467800.0,1359400.0
LA,Ouachita Parish,21.0,7.0,20.0,225.0,147.0,330.0,662.0,38.0,3.0,160900.0,744000.0,1042200.0,7051500.0,10448400.0,3176900.0,8766700.0,752900.0,27900.0
